name,description,type,constellation,size,ra,dec,mag
IC 2395,,Open Cluster,Vela,6.00,08 42 30.11,-48 09 02.0,4.60
IC 2396,,*,Cancer,,08 46 40.59,+17 38 57.1,
IC 2397,,**,Cancer,,08 46 41.86,+17 39 35.2,
IC 2398,,Galaxy,Cancer,0.64,08 46 44.57,+17 45 17.7,
IC 2399,,Galaxy,Cancer,0.53,08 47 49.73,+18 54 42.8,
IC 2400,,Galaxy,Lynx,0.90,08 47 59.15,+38 04 11.3,
IC 2401,,Galaxy,Lynx,1.12,08 48 10.30,+37 45 19.3,
IC 2402,,Galaxy,Cancer,0.82,08 47 59.04,+31 47 08.3,
IC 2403,,Galaxy,Hydra,0.70,08 46 09.33,-15 21 25.2,
IC 2404,,Galaxy,Cancer,0.76,08 48 10.45,+29 29 28.9,14.75
IC 2405,,Galaxy,Lynx,0.76,08 48 42.76,+37 13 07.1,
IC 2406,,Galaxy,Cancer,1.64,08 48 04.61,+17 42 08.6,
IC 2407,,Galaxy,Cancer,1.25,08 48 09.15,+17 36 41.3,
IC 2408,,*,Cancer,,08 48 20.24,+19 02 14.7,
IC 2409,,Galaxy,Cancer,0.92,08 48 24.66,+18 19 52.1,
IC 2410,NGC 2667,Duplicate,Cancer,,08 48 27.25,+19 01 10.2,
IC 2411,NGC 2667B,Duplicate,Cancer,,08 48 30.17,+19 02 38.0,
IC 2412,,*,Cancer,,08 49 23.71,+18 32 35.4,
IC 2413,,**,Cancer,,08 49 31.57,+18 44 41.1,
IC 2414,,Galaxy,Cancer,0.58,08 49 50.12,+18 47 32.7,
IC 2415,,*,Cancer,,08 50 01.91,+18 39 05.8,
IC 2416,,*,Cancer,,08 50 32.15,+18 33 34.6,
IC 2417,,*,Cancer,,08 51 08.16,+18 37 29.7,14.50
IC 2418,,Galaxy,Cancer,0.39,08 51 25.08,+17 56 42.9,
IC 2419,,**,Cancer,,08 52 09.40,+18 06 04.9,
IC 2420,,Galaxy,Hydra,0.84,08 51 33.76,+03 06 02.5,
IC 2421,,Galaxy,Cancer,1.41,08 54 21.60,+32 40 51.1,13.31
IC 2422,,Galaxy,Cancer,0.66,08 54 24.31,+20 13 29.3,
IC 2423,,Galaxy,Cancer,0.84,08 54 47.08,+20 13 13.0,
IC 2424,NGC 2704,Duplicate,Lynx,,08 56 47.69,+39 22 55.9,
IC 2425,,*,Hydra,,08 55 50.13,-03 25 23.3,
IC 2426,,Galaxy,Hydra,0.61,08 58 30.48,+02 55 31.8,
IC 2427,,Galaxy,Lynx,0.74,09 01 01.70,+37 52 31.6,
IC 2428,,Galaxy,Cancer,1.61,09 03 14.70,+30 35 28.8,
IC 2429,,Galaxy,Cancer,0.59,09 03 42.53,+29 17 45.6,14.61
IC 2430,,Galaxy,Cancer,0.96,09 04 22.83,+27 57 10.8,
IC 2431,,GGroup,Cancer,1.00,09 04 35.35,+14 35 38.7,
IC 2431 NED01,,Galaxy,Cancer,0.04,09 04 34.56,+14 35 52.4,
IC 2431 NED02,,Galaxy,Cancer,0.60,09 04 34.72,+14 35 44.8,14.04
IC 2431 NED03,,Galaxy,Cancer,0.45,09 04 34.82,+14 35 36.3,
IC 2431 NED04,,Galaxy,Cancer,0.28,09 04 35.44,+14 35 42.2,
IC 2432,,Galaxy,Hydra,0.82,09 04 39.54,+05 30 43.4,
IC 2433,,Galaxy,Cancer,0.82,09 05 28.73,+22 36 08.0,
IC 2434,,Galaxy,Lynx,1.30,09 07 16.06,+37 12 55.0,
IC 2435,,Galaxy,Cancer,0.88,09 06 49.79,+26 16 31.6,
IC 2436,,**,Hydra,,09 05 23.72,-19 09 55.7,
IC 2437,,Galaxy,Hydra,1.79,09 05 33.11,-19 12 25.6,12.92
IC 2438,,Other,Camelopardalis,,09 14 08.83,+73 25 02.5,
IC 2439,,Galaxy,Cancer,1.40,09 08 38.46,+32 35 34.6,16.06
IC 2440,,*,Camelopardalis,,09 15 50.16,+73 27 32.6,
IC 2441,,Galaxy Pair,Cancer,0.90,09 10 02.30,+22 51 12.0,
IC 2441 NED01,,Galaxy,Cancer,0.63,09 10 01.82,+22 51 18.2,
IC 2441 NED02,,Galaxy,Cancer,0.66,09 10 02.90,+22 51 06.4,
IC 2442,,Galaxy,Cancer,0.83,09 10 05.17,+22 50 18.0,
IC 2443,,Galaxy,Cancer,0.66,09 11 30.89,+28 49 35.7,14.21
IC 2444,,Galaxy,Cancer,0.82,09 12 50.86,+30 12 44.2,
IC 2445,,Galaxy,Cancer,0.76,09 13 12.60,+31 48 28.3,
IC 2446,IC 2447,Galaxy,Cancer,1.49,09 13 31.38,+28 57 06.3,13.64
IC 2447,IC 2446,Duplicate,Cancer,,09 13 31.38,+28 57 06.3,
IC 2448,,Planetary Nebula,Carina,0.15,09 07 06.26,-69 56 30.6,10.40
IC 2449,NGC 2783B,Duplicate,Cancer,,09 13 33.15,+30 00 00.5,
IC 2450,,Galaxy,Cancer,1.35,09 17 05.28,+25 25 45.0,
IC 2451,,Galaxy,Cancer,0.93,09 15 47.78,+23 29 47.1,
IC 2452,,Galaxy,Cancer,0.68,09 15 57.58,+23 28 20.1,
IC 2453,,Galaxy,Cancer,0.72,09 15 54.53,+20 55 44.0,
IC 2454,,Galaxy,Cancer,0.97,09 16 01.77,+17 49 14.5,
IC 2455,NGC 2804,Duplicate,Cancer,,09 16 50.01,+20 11 54.6,
IC 2456,,Galaxy,Lynx,0.63,09 17 24.24,+34 40 27.8,
IC 2457,,Galaxy,Cancer,0.55,09 17 04.14,+20 05 36.6,
IC 2458,NGC 2820A,Duplicate,Ursa Major,,09 21 30.07,+64 14 19.3,
IC 2459,,Galaxy,Lynx,0.66,09 18 59.47,+34 51 43.9,
IC 2460,NGC 2827,Duplicate,Lynx,,09 19 19.01,+33 52 50.9,
IC 2461,,Galaxy,Lynx,2.41,09 19 58.03,+37 11 28.5,
IC 2462,,Galaxy,Leo,0.69,09 22 56.25,+22 41 10.9,
IC 2463,,Galaxy,Leo,0.54,09 23 00.25,+22 37 06.8,
IC 2464,,Galaxy,Leo,0.80,09 23 22.27,+22 37 48.9,
IC 2465,,Galaxy,Leo,0.97,09 23 31.51,+24 26 44.5,
IC 2466,,Galaxy,Leo,0.83,09 23 45.03,+24 31 06.4,
IC 2467,,Galaxy,Leo Minor,0.95,09 24 52.72,+38 21 06.3,
IC 2468,,Galaxy,Leo Minor,0.51,09 25 01.49,+38 20 38.5,
IC 2469,,Galaxy,Pyxis,5.79,09 23 01.06,-32 26 59.1,11.09
IC 2470,,Galaxy,Leo,1.01,09 25 41.32,+23 21 41.8,
IC 2471,,Galaxy,Hydra,1.08,09 25 12.17,-06 49 47.7,
IC 2472,,Galaxy,Leo,0.62,09 26 33.72,+21 23 06.1,
IC 2473,,Galaxy,Leo,1.08,09 27 23.50,+30 26 26.9,
IC 2474,,Galaxy,Leo,0.59,09 27 11.41,+23 02 03.4,
IC 2475,,Galaxy,Leo,1.01,09 27 54.33,+29 47 30.7,
IC 2476,,Galaxy,Leo,1.30,09 27 52.83,+29 59 08.7,
IC 2477,IC 2480,Galaxy,Leo,0.60,09 28 17.83,+29 42 21.8,14.65
IC 2478,,Galaxy,Leo,0.57,09 28 00.93,+30 02 13.1,
IC 2479,,Galaxy,Leo,0.58,09 28 04.09,+29 59 29.2,
IC 2480,IC 2477,Duplicate,Leo,,09 28 17.83,+29 42 21.8,
IC 2481,,Galaxy,Hydra,0.83,09 27 28.81,+03 55 46.6,
IC 2482,,Galaxy,Hydra,2.84,09 26 59.22,-12 06 32.1,
IC 2483,,Galaxy,Leo,0.66,09 29 25.79,+30 59 41.0,
IC 2484,,Other,Vela,,09 26 50.28,-42 50 34.1,
IC 2485,,Other,Antlia,,09 27 11.88,-39 17 05.0,
IC 2486,,Galaxy,Leo,0.92,09 30 17.37,+26 38 28.6,
IC 2487,,Galaxy,Leo,1.84,09 30 09.17,+20 05 27.1,
IC 2488,,Open Cluster,Vela,7.20,09 27 38.23,-57 00 25.0,7.40
IC 2489,,Other,Hydra,,09 31 11.63,-05 53 03.0,
IC 2490,,Galaxy,Leo,0.97,09 33 03.65,+29 55 42.1,
IC 2491,,Galaxy,Leo Minor,0.87,09 35 14.22,+34 43 54.0,
IC 2492,,Galaxy,Antlia,0.76,09 33 14.87,-37 51 58.8,
IC 2493,,Galaxy,Leo Minor,0.97,09 36 17.54,+37 21 50.4,
IC 2494,NGC 2947,Duplicate,Hydra,,09 36 05.79,-12 26 12.2,
IC 2495,,Galaxy,Leo,0.73,09 38 07.39,+28 03 27.6,
IC 2496,,Galaxy,Leo Minor,0.73,09 38 44.50,+34 43 36.4,
IC 2497,,Galaxy,Leo Minor,0.72,09 41 04.09,+34 43 57.8,
IC 2498,,Galaxy,Leo,0.83,09 41 21.94,+28 06 52.1,
IC 2499,,Galaxy,Leo,0.63,09 41 24.63,+27 53 42.9,
IC 2500,,Galaxy,Leo Minor,1.35,09 42 23.37,+36 20 58.9,
IC 2501,,Planetary Nebula,Carina,0.03,09 38 47.18,-60 05 30.7,10.40
IC 2502,,Galaxy,Leo Minor,0.55,09 43 15.40,+35 09 37.9,
IC 2503,,Galaxy,Leo Minor,0.42,09 43 15.84,+35 12 22.4,
IC 2504,,Other,Carina,,09 38 33.82,-69 05 06.4,
IC 2505,,Galaxy,Leo,0.75,09 45 06.95,+27 16 06.9,
IC 2506,,Galaxy,Leo,0.55,09 45 12.77,+27 15 07.2,
IC 2507,,Galaxy,Antlia,1.74,09 44 33.90,-31 47 24.0,
IC 2508,,Galaxy,Leo Minor,0.69,09 47 07.08,+33 30 29.0,
IC 2509,,*,Sextans,,09 46 55.92,+05 42 07.0,
IC 2510,,Galaxy,Antlia,1.59,09 47 43.48,-32 50 14.8,
IC 2511,IC 2512,Galaxy,Antlia,4.22,09 49 24.55,-32 50 21.1,
IC 2512,IC 2511,Duplicate,Antlia,,09 49 24.55,-32 50 21.1,
IC 2513,IC 2514,Galaxy,Antlia,3.39,09 50 00.79,-32 52 58.2,
IC 2514,IC 2513,Duplicate,Antlia,,09 50 00.79,-32 52 58.2,
IC 2515,,Galaxy,Leo Minor,1.13,09 54 39.42,+37 24 30.9,
IC 2516,,Galaxy,Leo Minor,0.97,09 54 48.36,+37 41 13.0,
IC 2517,,Galaxy,Antlia,0.68,09 52 50.67,-33 44 31.0,
IC 2518,,Galaxy,Leo Minor,0.70,09 55 58.53,+37 09 19.9,
IC 2519,,Galaxy,Leo Minor,0.35,09 55 58.81,+34 02 11.7,
IC 2520,,Galaxy,Leo,0.88,09 56 20.12,+27 13 39.3,
IC 2521,,Galaxy,Leo Minor,0.61,09 57 15.75,+33 58 34.7,
IC 2522,,Galaxy,Antlia,2.30,09 55 08.96,-33 08 13.7,12.00
IC 2523,,Galaxy,Antlia,1.43,09 55 09.52,-33 12 36.8,
IC 2524,,Galaxy,Leo Minor,0.74,09 57 32.86,+33 37 11.0,
IC 2525,,Galaxy,Leo Minor,0.65,09 58 24.96,+37 06 06.7,
IC 2526,,Galaxy,Antlia,2.07,09 57 03.03,-32 15 24.7,
IC 2527,,Galaxy,Leo Minor,0.57,10 00 06.49,+38 10 19.9,
IC 2528,NGC 3084,Duplicate,Antlia,,09 59 06.42,-27 07 43.7,
IC 2529,NGC 3081,Duplicate,Hydra,,09 59 29.54,-22 49 34.6,
IC 2530,,Galaxy,Leo Minor,0.97,10 01 31.06,+37 12 14.2,
IC 2531,,Galaxy,Antlia,6.55,09 59 55.77,-29 37 01.1,12.22
IC 2532,,Galaxy,Antlia,2.04,10 00 05.40,-34 13 41.8,
IC 2533,,Galaxy,Antlia,2.04,10 00 31.67,-31 14 42.0,11.97
IC 2534,,Galaxy,Antlia,1.84,10 01 29.86,-34 06 44.7,
IC 2535,,Galaxy,Leo Minor,0.85,10 04 31.83,+38 00 21.7,
IC 2536,,Galaxy,Antlia,1.88,10 03 30.22,-33 56 59.1,
IC 2537,,Galaxy,Antlia,2.61,10 03 51.89,-27 34 15.1,12.22
IC 2538,,Galaxy,Antlia,1.49,10 03 56.49,-34 48 27.1,
IC 2539,,Galaxy,Antlia,1.98,10 04 16.21,-31 21 46.6,
IC 2540,,Galaxy,Leo Minor,0.91,10 06 46.71,+31 28 32.6,
IC 2541,,Galaxy,Hydra,1.47,10 05 48.01,-17 26 04.4,
IC 2542,,Galaxy,Leo Minor,1.04,10 07 50.54,+34 18 55.1,
IC 2543,,Galaxy Pair,Leo Minor,0.80,10 08 23.80,+37 50 34.0,
IC 2543 NED01,,Galaxy,Leo Minor,0.74,10 08 23.56,+37 50 29.5,
IC 2543 NED02,,Galaxy,Leo Minor,0.20,10 08 23.97,+37 50 39.2,
IC 2544,,Galaxy,Leo Minor,0.52,10 08 29.73,+33 20 47.0,
IC 2545,,**,Antlia,,10 06 35.06,-33 51 29.8,
IC 2546,,Galaxy,Antlia,0.83,10 07 05.92,-33 15 40.9,
IC 2547,,Galaxy,Leo Minor,0.82,10 10 04.49,+36 30 08.8,
IC 2548,,Galaxy,Antlia,2.17,10 07 54.95,-35 13 46.6,
IC 2549,,Galaxy,Leo Minor,0.47,10 10 10.16,+36 27 53.5,
IC 2550,,Galaxy,Leo Minor,0.93,10 10 27.92,+27 57 22.0,
IC 2551,,Galaxy,Leo,0.76,10 10 40.32,+24 24 50.9,
IC 2552,,Galaxy,Antlia,1.87,10 10 46.14,-34 50 40.9,12.06
IC 2553,,Planetary Nebula,Carina,0.15,10 09 20.87,-62 36 49.3,10.30
IC 2554,,Galaxy,Carina,3.31,10 08 50.56,-67 01 51.1,11.70
IC 2555,NGC 3157,Duplicate,Antlia,,10 11 42.43,-31 38 34.3,
IC 2556,,Galaxy,Antlia,1.83,10 12 37.63,-34 43 43.9,
IC 2557,,Galaxy,Leo Minor,0.60,10 16 05.87,+38 06 33.2,
IC 2558,,Galaxy,Antlia,1.01,10 14 44.14,-34 20 19.4,13.74
IC 2559,,Galaxy,Antlia,1.69,10 14 45.39,-34 03 31.7,
IC 2560,,Galaxy,Antlia,3.55,10 16 18.72,-33 33 49.7,12.06
IC 2561,,Galaxy,Leo Minor,0.89,10 19 08.61,+34 40 30.1,
IC 2562,,Galaxy,Leo,0.66,10 18 54.50,+16 09 19.9,
IC 2563,,Galaxy,Antlia,0.91,10 18 51.93,-32 35 47.6,
IC 2564,,Galaxy,Leo Minor,0.71,10 21 27.70,+36 27 07.4,
IC 2565,,Galaxy,Leo Minor,0.67,10 21 17.87,+27 55 48.3,
IC 2566,,Galaxy,Leo Minor,0.98,10 22 19.39,+36 34 58.9,
IC 2567,,Galaxy,Leo,0.79,10 21 57.80,+24 39 18.8,
IC 2568,,Galaxy,Leo Minor,1.10,10 22 30.01,+36 35 57.5,
IC 2569,,Galaxy,Leo,0.67,10 22 53.59,+24 36 23.1,
IC 2570,,Galaxy,Antlia,0.82,10 21 34.30,-33 37 23.6,
IC 2571,NGC 3223,Duplicate,Antlia,,10 21 35.08,-34 16 00.5,
IC 2572,,Galaxy,Leo Minor,0.90,10 25 07.28,+28 05 41.3,
IC 2573,,Galaxy,Antlia,1.50,10 23 30.18,-35 27 20.1,
IC 2574,,Galaxy,Ursa Major,12.91,10 28 23.48,+68 24 43.7,10.46
IC 2575,,Galaxy,Antlia,0.63,10 25 24.00,-32 38 10.5,
IC 2576,,Galaxy,Antlia,0.94,10 25 58.98,-32 54 12.5,
IC 2577,,Galaxy,Leo Minor,0.70,10 28 01.45,+32 45 50.0,
IC 2578,,Galaxy,Antlia,1.51,10 27 22.69,-33 52 38.4,
IC 2579,NGC 3251,Duplicate,Leo,,10 29 16.84,+26 05 57.3,
IC 2580,,Galaxy,Antlia,2.05,10 28 17.98,-31 31 04.9,12.72
IC 2581,,Open Cluster,Carina,6.00,10 27 29.15,-57 37 02.3,4.30
IC 2582,,Galaxy,Antlia,1.29,10 29 11.00,-30 20 33.0,12.91
IC 2583,,Galaxy,Leo,0.59,10 31 10.44,+26 03 18.2,
IC 2584,,Galaxy,Antlia,1.44,10 29 51.49,-34 54 41.9,12.67
IC 2585,NGC 3271,Duplicate,Antlia,,10 30 26.49,-35 21 34.2,
IC 2586,,Galaxy,Hydra,1.53,10 31 02.40,-28 42 59.9,12.52
IC 2587,,Galaxy,Antlia,1.98,10 30 59.60,-34 33 46.6,12.35
IC 2588,,Galaxy,Antlia,1.65,10 31 50.14,-30 23 04.3,12.53
IC 2589,,Galaxy,Hydra,0.82,10 32 20.82,-24 02 15.2,
IC 2590,,Galaxy,Leo,0.97,10 36 16.58,+26 57 44.9,
IC 2591,,Galaxy,Leo Minor,1.00,10 36 38.67,+35 03 10.5,
IC 2592,NGC 3366,Duplicate,Vela,,10 35 08.28,-43 41 30.5,
IC 2593,,Galaxy,Hydra,0.87,10 36 15.95,-12 43 32.9,
IC 2594,,Galaxy,Hydra,1.66,10 36 04.17,-24 19 23.1,
IC 2595,,Other,Sextans,,10 37 33.12,-11 07 00.2,
IC 2596,,Galaxy,Carina,1.32,10 34 12.46,-73 14 24.5,
IC 2597,,Galaxy,Hydra,2.62,10 37 47.45,-27 04 54.1,11.68
IC 2598,,Galaxy,Leo Minor,0.66,10 39 42.33,+26 43 39.2,
IC 2599,,HII Emission Nebula,Carina,20.00,10 37 27.09,-58 44 00.2,
IC 2600,,Galaxy,Ursa Major,0.62,10 46 38.80,+72 19 13.6,
IC 2601,,Galaxy,Ursa Major,0.35,10 47 13.32,+72 19 22.9,
IC 2602,,Open Cluster,Carina,48.00,10 42 57.47,-64 23 39.1,
IC 2603,,Other,Leo Minor,,10 48 25.36,+32 55 38.3,
IC 2604,,Galaxy,Leo Minor,1.18,10 49 25.07,+32 46 21.8,
IC 2605,,Other,Leo Minor,0.40,10 49 47.54,+32 58 23.5,
IC 2606,,Galaxy,Leo Minor,1.07,10 50 17.65,+37 57 22.4,
IC 2607,,Galaxy,Leo Minor,0.75,10 50 18.94,+37 59 38.2,
IC 2608,,Galaxy,Leo Minor,0.79,10 50 15.52,+32 46 05.4,
IC 2609,NGC 3404,Duplicate,Hydra,,10 50 17.98,-12 06 31.4,
IC 2610,,Other,Leo Minor,,10 52 08.07,+33 04 59.4,
IC 2611,,*,Leo,,10 52 38.93,+10 08 10.9,
IC 2612,,Galaxy,Leo Minor,0.82,10 53 37.16,+32 46 03.5,
IC 2613,NGC 3395,Duplicate,Leo Minor,,10 49 50.11,+32 58 58.3,
IC 2614,,Galaxy,Ursa Major,0.24,11 01 33.80,+38 48 13.2,
IC 2615,,Galaxy,Ursa Major,0.38,11 02 02.28,+37 56 42.9,
IC 2616,,Galaxy,Ursa Major,0.66,11 02 05.76,+38 47 14.1,
IC 2617,,Galaxy,Ursa Major,0.89,11 02 07.63,+38 39 51.3,
IC 2618,,**,Leo Minor,,11 01 58.82,+27 47 21.3,
IC 2619,,Galaxy,Ursa Major,0.33,11 02 15.26,+37 57 57.9,
IC 2620,,Galaxy,Ursa Major,1.04,11 02 23.95,+38 30 18.1,14.22
IC 2621,,Planetary Nebula,Carina,0.08,11 00 19.99,-65 14 57.7,11.20
IC 2622,NGC 3508,Duplicate,Crater,,11 02 59.67,-16 17 22.0,
IC 2623,,Galaxy,Crater,1.06,11 03 50.96,-20 05 35.0,13.50
IC 2624,NGC 3497,Duplicate,Crater,,11 07 18.07,-19 28 17.6,
IC 2625,NGC 3529,Duplicate,Crater,,11 07 19.12,-19 33 20.3,
IC 2626,,Galaxy,Leo,0.77,11 09 03.87,+26 54 15.0,
IC 2627,,Galaxy,Crater,2.40,11 09 53.39,-23 43 33.4,12.00
IC 2628,,Galaxy,Leo,0.75,11 11 37.87,+12 07 19.1,
IC 2629,,Galaxy,Leo,0.70,11 12 36.94,+12 06 17.8,
IC 2630,,*,Leo,,11 12 43.19,+12 19 08.2,
IC 2631,,Nebula,Chamaeleon,,11 09 52.79,-76 36 51.5,
IC 2632,,Galaxy,Leo,0.41,11 13 05.94,+11 40 23.8,
IC 2633,,Galaxy,Leo,0.62,11 13 10.04,+11 36 03.6,
IC 2634,,Galaxy,Leo,0.90,11 13 28.25,+10 29 09.5,
IC 2635,,**,Leo,,11 13 29.81,+11 27 50.0,
IC 2636,,Galaxy,Leo,0.67,11 13 34.04,+11 27 22.2,
IC 2637,,Galaxy,Leo,0.97,11 13 49.75,+09 35 10.7,14.17
IC 2638,,Galaxy,Leo,0.97,11 13 51.91,+10 33 48.2,
IC 2639,,Galaxy,Leo,0.57,11 13 55.54,+09 38 34.1,
IC 2640,,Galaxy,Leo,0.43,11 14 05.49,+10 59 51.6,
IC 2641,,*,Leo,,11 14 10.55,+09 23 57.6,
IC 2642,,Other,Leo,,11 14 15.80,+12 15 56.4,
IC 2643,,*,Leo,,11 14 26.56,+10 07 34.4,
IC 2644,,Galaxy,Leo,0.61,11 14 29.81,+10 46 06.5,
IC 2645,,Galaxy,Leo,0.79,11 14 30.82,+11 53 12.4,
IC 2646,,Galaxy,Leo,0.45,11 14 37.60,+12 31 42.6,
IC 2647,,*,Leo,,11 14 38.62,+12 08 31.2,
IC 2648,,Galaxy,Leo,0.58,11 14 45.63,+10 13 29.4,
IC 2649,,Galaxy,Leo,0.85,11 14 46.45,+11 07 39.7,
IC 2650,,Galaxy,Leo,0.48,11 14 52.66,+13 51 08.9,
IC 2651,,Galaxy,Leo,0.52,11 14 52.28,+12 14 23.2,
IC 2652,,Galaxy,Leo,0.67,11 14 52.32,+12 26 53.0,
IC 2653,,**,Leo,,11 14 53.83,+10 32 54.1,
IC 2654,,Galaxy,Leo,0.41,11 15 02.86,+12 29 58.1,
IC 2655,,Galaxy,Leo,0.36,11 15 05.16,+12 09 51.8,
IC 2656,,Galaxy,Leo,0.64,11 15 05.38,+12 22 44.9,
IC 2657,,Galaxy,Leo,0.29,11 15 08.71,+13 41 41.0,
IC 2658,,*,Leo,,11 15 08.75,+12 59 47.8,
IC 2659,,*,Leo,,11 15 27.84,+12 53 15.6,
IC 2660,,Galaxy,Leo,0.40,11 15 28.44,+12 26 13.9,
IC 2661,,Galaxy,Leo,0.68,11 15 29.17,+13 36 31.2,
IC 2662,,Other,Leo,,11 15 30.79,+12 46 15.8,
IC 2663,,*,Leo,,11 15 32.38,+12 36 14.1,
IC 2664,,**,Leo,,11 15 38.44,+12 33 45.7,
IC 2665,,Galaxy,Leo,0.59,11 15 40.78,+11 43 26.9,
IC 2666,,Galaxy,Leo,1.07,11 15 43.77,+13 46 56.1,
IC 2667,,Galaxy,Leo,0.63,11 15 44.04,+12 07 00.6,
IC 2668,,Galaxy,Crater,1.55,11 15 32.28,-14 10 15.9,
IC 2669,,**,Leo,,11 15 53.22,+13 25 46.4,
IC 2670,,Galaxy,Leo,0.46,11 15 59.56,+11 47 00.1,
IC 2671,,*,Leo,,11 16 03.32,+13 07 27.3,
IC 2672,,*,Leo,,11 16 03.82,+10 09 26.2,
IC 2673,,Galaxy,Leo,0.85,11 16 04.13,+10 09 45.2,
IC 2674,,Galaxy,Leo,1.12,11 16 08.25,+11 02 55.1,
IC 2675,,*,Leo,,11 16 10.81,+12 14 57.5,
IC 2676,,Galaxy,Leo,0.14,11 16 18.51,+09 49 18.6,
IC 2677,,Galaxy,Leo,0.23,11 16 19.30,+12 12 57.1,
IC 2678,,Galaxy,Leo,0.67,11 16 21.64,+11 56 56.8,
IC 2679,,Galaxy,Leo,0.87,11 16 23.20,+12 00 55.4,
IC 2680,,Galaxy,Leo,0.79,11 16 25.53,+09 48 25.7,
IC 2681,,Other,Leo,,11 16 33.25,+11 12 25.9,
IC 2682,,**,Leo,,11 16 36.12,+09 24 38.8,
IC 2683,,Galaxy,Leo,0.42,11 16 54.30,+12 05 57.4,
IC 2684,,Galaxy,Leo,0.76,11 17 01.05,+13 05 58.7,
IC 2685,,*,Leo,,11 17 00.09,+10 05 38.7,
IC 2686,,*,Leo,,11 17 02.51,+12 57 06.0,
IC 2687,,**,Leo,,11 17 11.98,+10 09 29.2,
IC 2689,,Galaxy,Leo,0.66,11 17 19.50,+12 57 35.8,
IC 2690,,Galaxy,Leo,0.28,11 17 21.59,+12 58 31.5,
IC 2691,,*,Leo,,11 17 24.58,+12 01 51.9,
IC 2692,,Galaxy,Leo,0.52,11 17 33.22,+10 46 05.0,
IC 2693,,*,Leo,,11 17 36.31,+13 32 55.8,
IC 2694,,Galaxy,Leo,0.76,11 17 38.60,+13 22 34.0,
IC 2695,,Galaxy,Leo,0.51,11 17 48.57,+13 43 39.6,
IC 2696,,*,Leo,,11 17 48.93,+12 45 20.7,
IC 2697,,*,Leo,,11 17 51.13,+13 23 59.9,
IC 2698,,Galaxy,Leo,0.70,11 17 51.02,+11 53 08.8,
IC 2699,,*,Leo,,11 17 52.65,+11 54 33.2,
IC 2700,,Galaxy,Leo,0.38,11 17 54.18,+12 03 15.1,
IC 2701,,Galaxy,Leo,0.44,11 17 57.02,+11 07 05.0,
IC 2702,,Galaxy,Leo,0.40,11 17 57.23,+09 24 44.9,
IC 2703,,Galaxy,Leo,0.93,11 18 05.13,+17 38 58.3,
IC 2704,,Galaxy,Leo,0.65,11 18 04.01,+12 27 15.1,
IC 2705,,*,Leo,,11 18 03.68,+11 54 14.7,
IC 2706,,*,Leo,,11 18 29.20,+12 32 54.4,
IC 2707,,Galaxy,Leo,0.46,11 18 30.84,+09 28 29.5,
IC 2708,,Galaxy,Leo,0.92,11 18 34.61,+12 42 40.0,
IC 2709,,Galaxy,Leo,0.54,11 18 42.16,+12 33 42.1,
IC 2710,,**,Leo,,11 18 44.32,+13 33 59.7,
IC 2711,,*,Leo,,11 18 46.49,+13 44 18.4,
IC 2712,,Galaxy,Leo,0.46,11 18 52.78,+09 37 36.8,
IC 2713,,Galaxy,Leo,0.59,11 19 10.22,+12 09 53.3,
IC 2714,,Open Cluster,Carina,7.20,11 17 27.35,-62 43 30.4,8.20
IC 2715,,Galaxy,Leo,0.74,11 19 14.39,+11 57 07.8,
IC 2716,,Galaxy,Leo,0.38,11 19 16.34,+11 41 54.8,
IC 2717,,*,Leo,,11 19 18.77,+12 02 54.8,
IC 2718,,Galaxy,Leo,0.59,11 19 20.90,+12 01 20.2,
IC 2719,,Galaxy,Leo,0.22,11 19 32.20,+12 03 35.2,
IC 2720,,Galaxy,Leo,0.79,11 19 35.65,+12 04 35.7,
IC 2721,,Other,Leo,,11 19 42.81,+12 18 38.3,
IC 2722,,GTrpl,Leo,0.70,11 19 44.36,+13 57 46.5,
IC 2722 NED01,,Galaxy,Leo,0.69,11 19 43.94,+13 57 50.1,
IC 2722 NED03,,Galaxy,Leo,0.11,11 19 44.36,+13 57 46.5,
IC 2723,,Galaxy,Leo,0.47,11 19 47.90,+12 02 00.4,
IC 2724,,Galaxy,Leo,0.48,11 19 48.44,+10 42 59.6,
IC 2725,,Galaxy,Leo,0.48,11 19 57.44,+13 25 45.4,
IC 2726,,Other,Leo,,11 19 58.44,+13 24 56.1,
IC 2727,,Galaxy,Leo,0.43,11 20 00.07,+12 02 00.0,
IC 2728,,*,Leo,,11 20 05.13,+13 25 37.2,
IC 2729,,Galaxy,Leo,0.43,11 20 06.77,+13 24 33.5,
IC 2730,,*,Leo,,11 20 07.39,+12 21 59.5,
IC 2731,,*,Leo,,11 20 10.27,+13 33 29.8,
IC 2732,,Galaxy,Leo,0.40,11 20 12.38,+12 24 14.5,
IC 2733,,**,Leo,,11 20 17.31,+13 50 06.9,
IC 2734,,Galaxy,Leo,0.84,11 20 23.82,+12 26 34.9,
IC 2735,,Galaxy,Ursa Major,1.18,11 21 03.90,+34 20 38.2,
IC 2736,,*,Leo,,11 20 54.62,+12 24 31.2,
IC 2737,,*,Leo,,11 21 08.25,+14 17 35.5,
IC 2738,,Galaxy,Ursa Major,0.85,11 21 23.06,+34 21 24.0,
IC 2739,,Galaxy,Leo,0.37,11 21 12.43,+11 54 53.1,
