name,description,type,constellation,size,ra,dec,mag
Abell 21,Medusa Nebula,Planetary Nebula,Gemini,10.0,07 29 03,+13 14 48,
Abell 33,Diamond Ring Nebula,Planetary Nebula,Hydra,4.0,09 39 09,-02 48 33,
Abell 426,Perseus Galaxy Cluster,Galaxy Cluster,Perseus,150.0,03 18 36,+41 30 54,
Abell 85,CTB 1 or Garlic Nebula,Supernova Remnant,Cassiopeia,35.0,23 59 54,62 26 51,
Arp 142,Penguin and Egg Galaxy,Galaxy Duo,Hydra,2.0,09 37 45,02 44 00,
Arp 188,Tadpole Galaxy,Galaxy,Draco,3.6,16 06 04,55 25 32,
Arp 226,Atom For Peace Galaxy,Galaxy,Aquila,2.0,22 20 44,-24 40 00,12.1
Arp 242,Mice Galaxies,Galaxy,Coma Berenices,2.3,12 46 10,30 43 00,
Arp 244,Antennae Galaxy Duo,Galaxy,Corvus,2.6,12 01 53,-18 52 07,
Arp 269,Cocoon Galaxy,Galaxy,Canes Venatici,6.0,12 30 36,41 38 32,9.8
Arp 273,The Rose Galaxies,Galaxy,Andromeda,1.5,02 21 32,+39 21 00,12.9
Arp 316,Hickson 44 Galaxy Group,Galaxy,Leo,30.0,10 18 06,+21 49 00,11.1
Arp 317,Leo Triplet,Galaxy Group,Leo,50.0,11 18 55,13 05 00,
Arp 319,Stephan's Quintet,Galaxy Group,Pegasus,5.0,22 36 04,33 56 00,13.6
Arp 321,Arp 321,Galaxy Group,Hydra,4.0,09 38 53,-04 51 00,
Arp 336,Helix Galaxy,Galaxy,Ursa Major,5.2,08 55 35,58 44 02,12.7
Arp 84,Heron Galaxies,Galaxy,Canes Venatici,3.0,13 58 38,+37 25 30,
Barnard 104,Dark Checkmark,Dark Nebula,Scutum,16.0,18 47 20,-04 33 00,
Barnard 252,Dolphin Dark Nebula,Dark Nebula,Scorpius,20.0,17 15 18,-32 10 00,
Barnard 35,Barnard 35,Dark Nebula,Orion,20.0,05 45 31,09 04 00,
Barnard 7,Barnard 7,Dark Nebula,Taurus,50.0,04 17 24,28 34 00,
Barnard 72,Snake Nebula,Dark Nebula,Ophiuchus,37.0,17 23 36,-23 38 00,
Bernes 149,Lupus 3 Cloud,Dark Nebula,Scorpius,50.0,16 09 36,-39 03 00,
Cederblad 211,R Aquarii,Nova,Aquila,1.5,23 43 46,-15 16 43,
CRL 2688,Egg Nebula,Preplanetary Nebula,Cygnus,0.5,21 02 18,36 42 00,
G100.4+04.6,PM 1-333,Planetary Nebula,Cepheus,1.0,21 40 00,58 59 00,
Hickson 61,The Box,Galaxy Group,Coma Berenices,3.8,12 12 24,29 10 40,
HP Tau,V1025 Tau,Variable Star,Taurus,3.0,04 35 54,22 54 14,14.9
IC 1318,Gamma Cygni Nebula,Emission Nebula,Cygnus,240.0,20 23 14,40 15 24,
IC 1396,Elephant's Trunk,Dark Nebula,Cepheus,60.0,21 38 58,+57 29 21,
